order_id,order_date,status,item_id,sku,qty_ordered,price,value,Discount_Percent,discount_amount,category,payment_method,year,month,Gender,age,City,Reasons for cancelation and order refund
27875,10/25/2020,complete,583134,COMGEN59AD330C2F54D,2,130.9,130.9,15.27883881,2000.0,Computing,cod,2020,10,MALE,33,Alexandria,No Cancelation or Refund
171460,09/16/2021,received,900294,WOFGUL5A8C70F280A11,5,236.0,944.0,41.89830508,39552.0,Women's Fashion,Payaxis,2021,9,MALE,33,Tanta,No Cancelation or Refund
30391,12/31/2020,canceled,703174,HALFIL59ADBEA35DC2F,2,5074.9,5074.9,0.0,0.0,Home & Living,Easypay,2020,12,FEMALE,75,Cairo,product arrived too late
267712,07/27/2021,canceled,876271,SOGALM5A8BD55C356EA,2,36.0,36.0,0.0,0.0,Soghaat,bankalfalah,2021,7,FEMALE,75,Cairo,product did not meet the customer’s expectations
183626,06/07/2021,canceled,838119,APPWES59D49222EA151,11,210.5,2105.0,0.0,0.0,Appliances,bankalfalah,2021,6,MALE,33,Cairo,High Price and Cheaper alternative
13891,12/27/2020,canceled,680098,MEFTHE59F6D7950DB21-43,2,39.9,39.9,15.0,598.5,Men's Fashion,Easypay,2020,12,FEMALE,29,Cairo,Arriving date has changed
152295,01/09/2021,complete,710547,APPHAI5A27C9AE89444,2,3424.9,3424.9,0.0,0.0,Appliances,customercredit,2021,1,FEMALE,32,Cairo,No Cancelation or Refund
202808,03/30/2021,complete,763079,TOP5A6FF819A2423,2,45.0,45.0,0.0,0.0,Superstore,cod,2021,3,MALE,50,Mansoura,No Cancelation or Refund
49164,07/04/2021,received,863404,SOGAMB5A09BA25AF0A9,51,6.5,325.0,0.0,0.0,Soghaat,Payaxis,2021,7,MALE,50,Alexandria,No Cancelation or Refund
231982,04/29/2021,canceled,804693,OTHPCB5AB351E9BAC88,3,200.0,400.0,0.0,0.0,Others,Easypay,2021,4,FEMALE,51,Cairo,product did not match the description
283918,09/15/2021,canceled,897483,MEFNAR59F7253F6E875,2,79.8,79.8,0.0,0.0,Men's Fashion,bankalfalah,2021,9,MALE,23,Cairo,product did not match the description
170104,02/03/2021,received,724606,MATXIA59B9273E8362E,2,24.8,24.8,0.0,0.0,Mobiles & Tablets,cod,2021,2,MALE,33,Cairo,No Cancelation or Refund
86424,12/20/2020,complete,622435,MATHUA5A0C4EE95FECB,2,2109.3,2109.3,13.27454606,28000.0,Mobiles & Tablets,easypay_voucher,2020,12,MALE,47,Cairo,No Cancelation or Refund
156958,02/07/2021,canceled,726795,HASONC59BA3E209AFCD,11,45.0,450.0,0.0,0.0,Health & Sports,Payaxis,2021,2,FEMALE,69,Alexandria,product damaged during shipping
75374,12/20/2020,complete,622358,MATNAD59E0AC0524E72,3,16.5,33.0,10.0,330.0,Mobiles & Tablets,Easypay_MA,2020,12,FEMALE,51,Alexandria,No Cancelation or Refund
217610,04/28/2021,canceled,798321,OTHPCB5AB351ED2E8AD,2,50.0,50.0,0.0,0.0,Others,jazzwallet,2021,4,MALE,18,Mansoura,product did not match the description
131162,12/26/2020,complete,668965,APPRUS59FADA121EA4B,2,299.9,299.9,0.0,0.0,Appliances,cod,2020,12,MALE,21,Mansoura,No Cancelation or Refund
203341,03/31/2021,complete,763757,WOFVST5A93B34864DFD,4,99.9,299.7,30.0,8991.0,Women's Fashion,Payaxis,2021,3,MALE,53,Cairo,No Cancelation or Refund
156714,07/04/2021,received,864530,MATSAM5A8E9F7D86948,11,19.9,199.0,0.0,0.0,Mobiles & Tablets,Easypay,2021,7,FEMALE,53,Cairo,No Cancelation or Refund
83695,01/31/2021,complete,723177,APPHAI5A015E5320BB0,2,777.0,777.0,12.87001287,10000.0,Appliances,Easypay,2021,1,FEMALE,33,Alexandria,No Cancelation or Refund
111425,12/22/2020,received,646207,MEFACE59CCA8CE8838A-L,2,79.8,79.8,0.0,0.0,Men's Fashion,cod,2020,12,MALE,24,Cairo,No Cancelation or Refund
46890,11/12/2020,complete,592385,COMSEA59D7279A08B6A,4,679.9,2039.7,37.35402265,76191.0,Computing,Payaxis,2020,11,MALE,21,Cairo,No Cancelation or Refund
100734,12/26/2020,complete,671312,APPGAB59FDA0F5CD42D,3,448.9,897.8,26.20516819,23527.0,Appliances,Easypay,2020,12,FEMALE,27,Tanta,No Cancelation or Refund
151988,12/29/2020,complete,694159,MATSAM59DB75ADB2F80,2,1369.8,1369.8,15.40297854,21099.0,Mobiles & Tablets,easypay_voucher,2020,12,MALE,73,Cairo,No Cancelation or Refund
85120,12/25/2020,canceled,663860,MEFTHE59F6D7950DB21-42,2,39.9,39.9,0.0,0.0,Men's Fashion,Easypay_MA,2020,12,MALE,57,Alexandria,High Price and Cheaper alternative
217327,04/17/2021,canceled,783767,OTHPCB5A7D8A0F23862,6,400.0,2000.0,0.0,0.0,Others,cod,2021,4,FEMALE,52,Cairo,product did not match the description
87286,12/26/2020,complete,670795,COMSEA5A09949E2F97C,3,552.5,1105.0,27.7239819,30635.0,Computing,Easypay,2020,12,FEMALE,29,Cairo,No Cancelation or Refund
65482,12/28/2020,canceled,692553,APPBIN59F97224AEF72,3,134.8,269.6,29.83679525,8044.0,Appliances,Easypay,2020,12,MALE,31,Alexandria,High Price and Cheaper alternative
232853,04/29/2021,order_refunded,805720,MATPKB5A8D34C4011F0,2,149.9,149.9,0.0,0.0,Mobiles & Tablets,cod,2021,4,FEMALE,61,Tanta,product defects
206219,04/02/2021,complete,767738,OTHPCB5A7D84797167F,3,400.0,800.0,0.0,0.0,Others,Payaxis,2021,4,MALE,36,Alexandria,No Cancelation or Refund
86152,12/20/2020,canceled,621297,ENTORI5A0BEAC5CAB2E,2,3093.0,3093.0,10.34594245,32000.0,Entertainment,easypay_voucher,2020,12,FEMALE,36,Al Sharqiya,High Price and Cheaper alternative
108167,12/23/2020,complete,654404,MATHUA59B7EAABAA0AE,1,2845.4,0.0,7.028888733,0.0,Mobiles & Tablets,Easypay,2020,12,FEMALE,40,Alexandria,No Cancelation or Refund
59461,11/22/2020,canceled,600729,APPGEE59AD7ED3E5725,2,399.9,399.9,0.0,0.0,Appliances,cod,2020,11,MALE,74,Cairo,product arrived too late
108536,02/06/2021,complete,726231,APPORI5A00406DF0B76,1,2552.1,0.0,7.836683516,0.0,Appliances,easypay_voucher,2021,2,MALE,35,Cairo,No Cancelation or Refund
275811,08/03/2021,canceled,879413,APPGIF5ABE34EF16650,2,679.3,679.3,0.0,0.0,Appliances,bankalfalah,2021,8,FEMALE,63,Alexandria,product did not match the description
164003,09/12/2021,order_refunded,895432,OTHOTH5B695B0B2B6C3-42,6,0.2,1.0,0.0,0.0,Others,cod,2021,9,MALE,47,Cairo,product did not meet the customer’s expectations
176241,04/11/2021,order_refunded,776782,HASQAR5A5369727F0E1,4,6.2,18.6,0.0,0.0,Health & Sports,cod,2021,4,MALE,50,Cairo,product arrived too late
257690,08/16/2021,order_refunded,885179,WOFCOM5A81413D2DBFA,2,39.2,39.2,0.0,0.0,Women's Fashion,cod,2021,8,FEMALE,53,Cairo,product did not match the description
42350,12/24/2020,complete,659083,MEFSIK59F1D72D6371A,2,42.0,42.0,0.0,0.0,Men's Fashion,Easypay_MA,2020,12,MALE,73,Cairo,No Cancelation or Refund
199777,03/27/2021,canceled,758750,HALSIT5A83CFCD9C8B9,2,64.5,64.5,0.0,0.0,Home & Living,cod,2021,3,FEMALE,36,Cairo,receiving wrong product
281232,08/31/2021,order_refunded,890928,WOFNET5B4EE95A1A573,2,139.9,139.9,0.0,0.0,Women's Fashion,cod,2021,8,MALE,28,Cairo,product did not match the description
104069,03/13/2021,order_refunded,740369,COMLEN5A0416FA3DA2C,2,528.5,528.5,0.0,0.0,Computing,cod,2021,3,FEMALE,28,Mansoura,product arrived too late
64132,04/09/2021,received,775626,WOFSIG5A8AD02C838AC,2,137.5,137.5,19.81818182,2725.0,Women's Fashion,Payaxis,2021,4,MALE,31,Mansoura,No Cancelation or Refund
175533,02/21/2021,received,732549,MEFKEN5A604F6F07118,2,0.0,0.0,0.0,0.0,Men's Fashion,cod,2021,2,MALE,18,Alexandria,No Cancelation or Refund
230955,04/30/2021,canceled,810541,OTHPCB5ABB207815348,2,100.0,100.0,0.0,0.0,Others,Easypay,2021,4,FEMALE,58,Alexandria,product did not match the description
7731,09/15/2021,canceled,898170,WOFGUL5A8C711AAC6D2,5,236.0,944.0,46.7095339,44093.8,Women's Fashion,Payaxis,2021,9,FEMALE,64,Alexandria,Arriving date has changed
96224,12/20/2020,complete,630618,MATHUA5A0C4EE4ECB8E,2,1122.3,1122.3,11.60384924,13023.0,Mobiles & Tablets,easypay_voucher,2020,12,FEMALE,28,Cairo,No Cancelation or Refund
155447,12/30/2020,cod,699259,WOFPRI59F0E168443BE,2,149.8,149.8,0.0,0.0,Women's Fashion,cod,2020,12,MALE,22,Mansoura,No Cancelation or Refund
59660,12/03/2020,received,605198,WOFGUL59C24CB31BC36,2,95.9,95.9,0.0,0.0,Women's Fashion,cod,2020,12,MALE,22,Alexandria,No Cancelation or Refund
120344,12/24/2020,complete,656012,MATSAM5A0BFFEEED718,2,1400.0,1400.0,14.5,20300.0,Mobiles & Tablets,easypay_voucher,2020,12,MALE,26,Tanta,No Cancelation or Refund
242496,08/17/2021,received,885557,WOFLAL59BA48792A748,2,92.0,92.0,0.0,0.0,Women's Fashion,bankalfalah,2021,8,FEMALE,57,Tanta,No Cancelation or Refund
235989,04/30/2021,canceled,810769,OTHPCB5ABB2065A972B,6,200.0,1000.0,0.0,0.0,Others,Easypay,2021,4,MALE,29,Cairo,product defects
50631,11/12/2020,canceled,594301,COMWES59DB756A486C4,2,629.9,629.9,0.0,0.0,Computing,Payaxis,2020,11,MALE,54,Cairo,product arrived too late
148745,12/28/2020,cod,689531,APPTOO59D71E551CBCF,2,144.0,144.0,0.0,0.0,Appliances,cod,2020,12,MALE,55,Alexandria,No Cancelation or Refund
104043,12/21/2020,complete,638497,MATMOT59FC5E22CEBB4,2,1855.5,1855.5,16.16814875,30000.00001,Mobiles & Tablets,easypay_voucher,2020,12,MALE,63,Cairo,No Cancelation or Refund
184119,04/15/2021,canceled,780897,MATHUA5A9E337FE5F09,2,2599.9,2599.9,0.0,0.0,Mobiles & Tablets,Payaxis,2021,4,MALE,64,Cairo,High Price and Cheaper alternative
116755,12/23/2020,canceled,651625,COMSEA59F72A266BBAE,1,3563.7,0.0,5.612144681,0.0,Computing,Easypay,2020,12,MALE,26,Mansoura,product damaged during shipping
70812,12/21/2020,complete,639083,MEFPAK5A094BF436BE6-M,2,69.9,69.9,0.0,0.0,Men's Fashion,Easypay_MA,2020,12,MALE,41,Cairo,No Cancelation or Refund
16824,12/30/2020,complete,699183,APPELI5A01BD9B6D08E,3,89.9,179.8,0.0,0.0,Appliances,cod,2020,12,FEMALE,36,Cairo,No Cancelation or Refund
71088,01/10/2021,canceled,711456,MATSAM59AD3E4F2958A,2,3430.0,3430.0,0.0,0.0,Mobiles & Tablets,Easypay,2021,1,FEMALE,38,Tanta,product did not meet the customer’s expectations
74524,03/22/2021,received,750634,HALSHO5A3233C05C5BF,2,21.2,21.2,0.0,0.0,Home & Living,cod,2021,3,MALE,33,Alexandria,No Cancelation or Refund
29669,08/20/2021,canceled,886927,ENTTCL5A7FEF9523346,2,2019.8,2019.8,0.0,0.0,Entertainment,bankalfalah,2021,8,MALE,25,Giza,Arriving date has changed
13226,11/04/2020,order_refunded,586622,MEFMUN59ACE0E4086AA,2,37.5,37.5,0.0,0.0,Men's Fashion,cod,2020,11,FEMALE,46,Cairo,product defects
45386,04/01/2021,complete,766323,MATSAM5A7DBD43A7652,2,2919.9,2919.9,13.42477482,39199.0,Mobiles & Tablets,Easypay,2021,4,FEMALE,58,Cairo,No Cancelation or Refund
168686,01/28/2021,complete,721917,WOFDEA59F1ED66017E1,2,89.9,89.9,0.0,0.0,Women's Fashion,cod,2021,1,MALE,18,Cairo,No Cancelation or Refund
75913,06/21/2021,received,854212,SOGCRY5AE6ABDECE445,3,54.3,108.6,0.0,0.0,Soghaat,jazzwallet,2021,6,MALE,70,Cairo,No Cancelation or Refund
194432,04/01/2021,received,766415,WOFKAR5A7C1421A59E0-S,3,143.0,286.0,0.0,0.0,Women's Fashion,cod,2021,4,MALE,52,Cairo,No Cancelation or Refund
217093,04/17/2021,canceled,783572,OTHPCB5A7D8A109E3D6,5,100.0,400.0,0.0,0.0,Others,cod,2021,4,FEMALE,70,Cairo,product did not match the description
96540,06/13/2021,received,845754,MATAUD5ACCACAC5CC22,31,36.0,1080.0,0.0,0.0,Mobiles & Tablets,Easypay,2021,6,MALE,60,Tanta,No Cancelation or Refund
78515,12/16/2020,order_refunded,614859,MEFAYB59FAB695BD4A4-M,2,69.9,69.9,0.0,0.0,Men's Fashion,cod,2020,12,FEMALE,67,Alexandria,Arriving date has changed
183340,03/13/2021,received,740626,COMTOP5A6FF40B837DC,2,8.0,8.0,0.0,0.0,Computing,cod,2021,3,FEMALE,28,Mansoura,No Cancelation or Refund
139201,12/28/2020,canceled,688382,MEFALH59C2721A7BB1E,2,89.8,89.8,0.0,0.0,Men's Fashion,Easypay,2020,12,FEMALE,38,Cairo,product arrived too late
38137,11/09/2020,complete,589788,WOFDIN59D36EAA6B896,2,94.5,94.5,10.0,945.0,Women's Fashion,cod,2020,11,MALE,19,Cairo,No Cancelation or Refund
183152,03/13/2021,order_refunded,740410,BKSPAG59BD3BA87D916,2,42.4,42.4,0.0,0.0,Books,cod,2021,3,FEMALE,61,Cairo,Arriving date has changed
70948,01/04/2021,canceled,706785,HASSHA59EE007E65B4F,2,69.8,69.8,0.0,0.0,Health & Sports,Easypay,2021,1,MALE,57,Cairo,product did not meet the customer’s expectations
148368,12/28/2020,canceled,689069,MATSAM59DB757FB47A2,2,6979.2,6979.2,13.61187529,95000.00002,Mobiles & Tablets,easypay_voucher,2020,12,MALE,20,Alexandria,product damaged during shipping
122977,12/29/2020,received,696546,HALTEL59AC71F433516,3,29.9,59.8,20.0,1196.0,Home & Living,Easypay,2020,12,FEMALE,52,Cairo,No Cancelation or Refund
12541,12/20/2020,complete,633298,APPNAT59F6C736DB370,2,86.8,86.8,0.0,0.0,Appliances,cod,2020,12,MALE,30,Alexandria,No Cancelation or Refund
51520,04/27/2021,complete,796970,BAGMAS59AD5DA1B55B1,2,71.2,71.2,0.0,0.0,Beauty & Grooming,cod,2021,4,MALE,65,Alexandria,No Cancelation or Refund
90079,03/24/2021,canceled,755422,MATHUA5A7D7743BFA86,2,2864.0,2864.0,10.0,28640.0,Mobiles & Tablets,easypay_voucher,2021,3,FEMALE,53,Tanta,product arrived too late
244692,05/16/2021,order_refunded,823801,HASTHE5A45FAE044CFA,2,225.0,225.0,0.0,0.0,Health & Sports,cod,2021,5,FEMALE,27,Cairo,product defects
219232,04/17/2021,order_refunded,785685,OTHPCB5A7D8475EFE59,4,400.0,1200.0,0.0,0.0,Others,cod,2021,4,MALE,42,Mansoura,product did not match the description
75420,12/14/2020,received,612598,MEFHOU59FB3ADCC5289-L,2,199.9,199.9,10.0050025,2000.0,Men's Fashion,Easypay_MA,2020,12,MALE,68,Cairo,No Cancelation or Refund
37148,02/17/2021,complete,731260,MEFOXF5A535060ED574-M,2,37.5,37.5,0.0,0.0,Men's Fashion,cod,2021,2,FEMALE,36,Alexandria,No Cancelation or Refund
158729,01/02/2021,complete,704631,WOFGUL59B7B18D80F52,2,84.0,84.0,0.0,0.0,Women's Fashion,cod,2021,1,FEMALE,67,Cairo,No Cancelation or Refund
1500,10/01/2020,order_refunded,575055,Campingaz_2000014562,2,185.0,185.0,0.0,0.0,Home & Living,cod,2020,10,MALE,35,Cairo,receiving wrong product
167739,02/14/2021,received,730065,MATHUA5A38C85903DAB,6,55.5,277.5,52.0,14430.0,Mobiles & Tablets,Easypay,2021,2,MALE,19,Cairo,No Cancelation or Refund
80464,12/21/2020,complete,635272,MATHUA5A0C4EE732EE9,2,1255.1,1255.1,15.73659469,19751.0,Mobiles & Tablets,easypay_voucher,2020,12,MALE,44,Mansoura,No Cancelation or Refund
114387,12/26/2020,canceled,670233,APPBLA5A007CC91795F,1,1180.0,0.0,8.474576271,0.0,Appliances,Easypay,2020,12,FEMALE,55,Cairo,product damaged during shipping
185776,05/24/2021,order_refunded,829078,WOFUNZ5A980B4F7C8D0-5,2,129.5,129.5,15.44401544,2000.0,Women's Fashion,customercredit,2021,5,MALE,46,Alexandria,Arriving date has changed
108497,12/21/2020,complete,643199,MEFPRI59F0E2F0E9A42-L,2,299.9,299.9,0.0,0.0,Men's Fashion,cod,2020,12,FEMALE,35,Cairo,No Cancelation or Refund
214652,04/15/2021,order_refunded,780029,MEFBRA5A940D6DB97BE-slim-fit-M,2,100.0,100.0,0.0,0.0,Men's Fashion,cod,2021,4,MALE,51,Mansoura,Arriving date has changed
248351,08/13/2021,canceled,883921,JAZ5AE6AE1EC106D,2,104.0,104.0,0.0,0.0,Superstore,apg,2021,8,MALE,68,Alexandria,receiving wrong product
182228,03/10/2021,order_refunded,739533,BAGLYN5A53208C53C05,2,68.3,68.3,0.0,0.0,Beauty & Grooming,Easypay,2021,3,FEMALE,47,Giza,Arriving date has changed
93495,04/19/2021,received,790319,SOGAMB5A2E671651624,2,16.0,16.0,0.0,0.0,Soghaat,cod,2021,4,MALE,61,Cairo,No Cancelation or Refund
121097,01/24/2021,canceled,720636,HALSON59DF3C409D592,3,197.34,394.68,20.0,7893.6,Home & Living,Easypay,2021,1,FEMALE,33,Cairo,product damaged during shipping
232888,04/29/2021,received,806382,OTHPCB5AB351EF2864B,3,50.0,100.0,0.0,0.0,Others,jazzwallet,2021,4,MALE,56,Cairo,No Cancelation or Refund
175249,03/01/2021,complete,736705,SADSTB59AC602EDB2A5,2,10.7,10.7,0.0,0.0,School & Education,cod,2021,3,FEMALE,25,Alexandria,No Cancelation or Refund
156604,05/28/2021,complete,831272,WOFGUL59AD7D49896F0,2,333.2,333.2,0.0,0.0,Women's Fashion,cod,2021,5,FEMALE,63,Cairo,No Cancelation or Refund
184758,03/18/2021,order_refunded,743889,OTHPCB5A7D845E2C6C7,6,0.1,0.5,0.0,0.0,Others,customercredit,2021,3,MALE,18,Cairo,Arriving date has changed
206951,04/02/2021,complete,768509,BAGMAS59AC6F41484B5,11,179.0,1790.0,0.0,0.0,Beauty & Grooming,cod,2021,4,MALE,34,Cairo,No Cancelation or Refund
198927,03/26/2021,canceled,757508,ENTSAM5A7BE6883BCB7,2,2864.6,2864.6,10.47266634,30000.0,Entertainment,Payaxis,2021,3,MALE,68,Giza,receiving wrong product
237511,04/30/2021,canceled,812821,OTHPCB5ABB20722019C,6,50.0,250.0,0.0,0.0,Others,Easypay_MA,2021,4,MALE,31,Cairo,product did not match the description
277213,08/09/2021,canceled,881932,ENTMAN5AFD5150EE7E9,2,14.8,14.8,0.0,0.0,Entertainment,cod,2021,8,MALE,45,Cairo,product did not match the description
92281,12/20/2020,canceled,627350,APPJAC59BD0363635C0,2,134.8,134.8,10.0,1348.0,Appliances,easypay_voucher,2020,12,FEMALE,67,Tanta,product arrived too late
242355,05/07/2021,canceled,819941,MATSAM5A9F892ECDF73,2,11100.0,11100.0,0.0,0.0,Mobiles & Tablets,Easypay,2021,5,FEMALE,31,Cairo,product did not match the description
82801,12/20/2020,canceled,618438,SOGCRY59C0C1845992D,2,21.8,21.8,0.0,0.0,Soghaat,cod,2020,12,FEMALE,33,Cairo,product did not meet the customer’s expectations
130343,12/29/2020,complete,696038,MATSAM5A01A9189F1A0,2,19.9,19.9,0.0,0.0,Mobiles & Tablets,cod,2020,12,FEMALE,48,Cairo,No Cancelation or Refund
73325,12/13/2020,complete,611306,MATSAM59DB75ADB2F80,2,1400.0,1400.0,16.42857143,23000.0,Mobiles & Tablets,easypay_voucher,2020,12,FEMALE,18,Cairo,No Cancelation or Refund
237435,04/30/2021,canceled,812768,OTHPCB5ABB206B9F4F8,6,50.0,250.0,0.0,0.0,Others,Payaxis,2021,4,MALE,36,Cairo,product did not match the description
225721,04/25/2021,canceled,794786,MEFBRI5AA28B355D995-M,2,89.9,89.9,0.0,0.0,Men's Fashion,Easypay,2021,4,MALE,45,Mansoura,product did not match the description
111763,12/22/2020,canceled,647993,MEFSIK59C124F960BA8-L,2,64.2,64.2,0.0,0.0,Men's Fashion,Easypay,2020,12,MALE,70,Alexandria,product damaged during shipping
261024,07/24/2021,canceled,873920,MATXIA5AE4EDE4D3937,2,2039.9,2039.9,0.0,0.0,Mobiles & Tablets,Payaxis,2021,7,FEMALE,59,Mansoura,product did not match the description
65348,12/05/2020,order_refunded,606180,BAGNIC59EF2DF80CFF4,2,45.0,45.0,0.0,0.0,Beauty & Grooming,cod,2020,12,FEMALE,75,Al Sharqiya,product defects
56924,11/20/2020,received,598651,SOGSND59AC862574ABA,2,67.5,67.5,0.0,0.0,Soghaat,cod,2020,11,MALE,41,Tanta,No Cancelation or Refund
20803,06/13/2021,received,845984,ROO5AE983F1E6F05,11,33.0,330.0,0.0,0.0,Superstore,Easypay,2021,6,MALE,45,Cairo,No Cancelation or Refund
42402,11/12/2020,canceled,594309,NIM59C0C6E5C5FE7,3,9.8,19.6,0.0,0.0,Superstore,Payaxis,2020,11,FEMALE,73,Cairo,product arrived too late
26760,08/29/2021,received,890444,VIT5ABCCF7FDF973,6,79.5,397.5,18.86792453,7500.0,Superstore,Payaxis,2021,8,MALE,64,Cairo,No Cancelation or Refund
61464,12/21/2020,canceled,637912,MATHUA5A0C4F9F219A6,1,2845.7,0.0,7.028147732,0.0,Mobiles & Tablets,Easypay,2020,12,MALE,54,Cairo,product arrived too late
108675,06/17/2021,received,849698,WOFDEA5AE03433D3374,2,74.9,74.9,0.0,0.0,Women's Fashion,cod,2021,6,FEMALE,37,Mansoura,No Cancelation or Refund
15545,03/22/2021,canceled,750506,ENTECO5A7FECFAE81FB,2,5052.1,5052.1,11.4803745,58000.00001,Entertainment,Easypay,2021,3,MALE,40,Giza,Arriving date has changed
173982,07/27/2021,received,876206,SOGAMB5A09BA23BEF8A,2,16.0,16.0,0.0,0.0,Soghaat,cod,2021,7,FEMALE,39,Cairo,No Cancelation or Refund
243743,07/13/2021,canceled,870140,MATSAM5AD8D6CC8F913,2,49.5,49.5,0.0,0.0,Mobiles & Tablets,Easypay_MA,2021,7,MALE,50,Cairo,product did not match the description
221227,04/17/2021,canceled,788052,COMLEN5A059BDA40E95,2,3927.0,3927.0,11.0,43197.0,Computing,easypay_voucher,2021,4,MALE,51,Tanta,product did not match the description
85300,12/20/2020,complete,620387,APPWES5A04373CA74ED,2,74.4,74.4,0.0,0.0,Appliances,cod,2020,12,MALE,62,Alexandria,No Cancelation or Refund
234772,04/30/2021,canceled,809345,OTHPCB5AB351EE0E657,2,200.0,200.0,0.0,0.0,Others,jazzwallet,2021,4,FEMALE,71,Tanta,product defects
175495,06/13/2021,canceled,846301,ROO5AE983F2751EA,3,228.0,456.0,16.44736842,7500.0,Superstore,Payaxis,2021,6,MALE,66,Tanta,bad reviews
200231,03/27/2021,closed,759478,TUX5A546B82B35BC,3,19.0,38.0,0.0,0.0,Superstore,cod,2021,3,MALE,58,Mansoura,No Cancelation or Refund
